id,mean_acc_[Hoeffding_Tree_Classifier],current_acc_[Hoeffding_Tree_Classifier],mean_acc_[SAM_KNN_Classifier],current_acc_[SAM_KNN_Classifier],mean_acc_[Hoeffding_Adaptive_Tree_Classifier],current_acc_[Hoeffding_Adaptive_Tree_Classifier],mean_acc_[Accuracy_Weighted_Ensemble_Classifier],current_acc_[Accuracy_Weighted_Ensemble_Classifier],mean_acc_[Adaptive_Random_Forest_Classifier],current_acc_[Adaptive_Random_Forest_Classifier]
1000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1999,0.607000,0.607000,0.684000,0.684000,0.611000,0.611000,0.638000,0.638000,0.700000,0.700000
2999,0.602500,0.598000,0.690500,0.697000,0.607500,0.604000,0.639500,0.641000,0.705500,0.711000
3999,0.599333,0.593000,0.688333,0.684000,0.601333,0.589000,0.640000,0.641000,0.707667,0.712000
4999,0.599250,0.599000,0.692250,0.704000,0.602250,0.605000,0.642000,0.648000,0.712250,0.726000
5999,0.601600,0.611000,0.694400,0.703000,0.604200,0.612000,0.642800,0.646000,0.717400,0.738000
6999,0.597167,0.575000,0.696333,0.706000,0.598833,0.572000,0.639500,0.623000,0.718333,0.723000
7999,0.599286,0.612000,0.694714,0.685000,0.600143,0.608000,0.640571,0.647000,0.720571,0.734000
8999,0.599500,0.601000,0.698125,0.722000,0.599625,0.596000,0.645625,0.681000,0.725500,0.760000
9999,0.597778,0.584000,0.697556,0.693000,0.598000,0.585000,0.645222,0.642000,0.725333,0.724000
10999,0.595100,0.571000,0.700600,0.728000,0.596100,0.579000,0.644000,0.633000,0.726800,0.740000
11999,0.595000,0.594000,0.702182,0.718000,0.596000,0.595000,0.643818,0.642000,0.727364,0.733000
12999,0.601167,0.669000,0.710667,0.804000,0.609750,0.761000,0.640083,0.599000,0.727833,0.733000
13999,0.613538,0.762000,0.732923,1.000000,0.639692,0.999000,0.622385,0.410000,0.748692,0.999000
14999,0.592714,0.322000,0.725286,0.626000,0.644571,0.708000,0.614429,0.511000,0.747429,0.731000
15999,0.559133,0.089000,0.715533,0.579000,0.641333,0.596000,0.613333,0.598000,0.739467,0.628000
16999,0.534062,0.158000,0.710688,0.638000,0.639813,0.617000,0.615688,0.651000,0.735313,0.673000
17999,0.516706,0.239000,0.705353,0.620000,0.635412,0.565000,0.612000,0.553000,0.727941,0.610000
18999,0.506000,0.324000,0.719444,0.959000,0.636889,0.662000,0.591889,0.250000,0.739278,0.932000
19999,0.506263,0.511000,0.720421,0.738000,0.630947,0.524000,0.579316,0.353000,0.743579,0.821000
20999,0.511500,0.611000,0.713950,0.591000,0.633700,0.686000,0.583300,0.659000,0.744900,0.770000
21999,0.518000,0.648000,0.711190,0.656000,0.636952,0.702000,0.590095,0.726000,0.746333,0.775000
22999,0.525636,0.686000,0.712955,0.750000,0.641364,0.734000,0.595955,0.719000,0.748455,0.793000
23999,0.530435,0.636000,0.714391,0.746000,0.643870,0.699000,0.601217,0.717000,0.749609,0.775000
24999,0.535375,0.649000,0.716458,0.764000,0.646958,0.718000,0.607208,0.745000,0.750417,0.769000
25999,0.539400,0.636000,0.718760,0.774000,0.649520,0.711000,0.611760,0.721000,0.751280,0.772000
26999,0.543423,0.644000,0.720654,0.768000,0.651500,0.701000,0.616154,0.726000,0.752577,0.785000
27999,0.546852,0.636000,0.721889,0.754000,0.653111,0.695000,0.619000,0.693000,0.752519,0.751000
28999,0.540357,0.365000,0.713643,0.491000,0.645929,0.452000,0.619071,0.621000,0.748750,0.647000
29999,0.542069,0.590000,0.709586,0.596000,0.646690,0.668000,0.621690,0.695000,0.748345,0.737000
30999,0.543100,0.573000,0.708233,0.669000,0.647033,0.657000,0.624100,0.694000,0.747633,0.727000
31999,0.545710,0.624000,0.708000,0.701000,0.648452,0.691000,0.626806,0.708000,0.747290,0.737000
32999,0.547562,0.605000,0.707375,0.688000,0.649750,0.690000,0.629281,0.706000,0.746313,0.716000
33999,0.541303,0.341000,0.703364,0.575000,0.645061,0.495000,0.626273,0.530000,0.740455,0.553000
34999,0.536647,0.383000,0.699824,0.583000,0.641353,0.519000,0.624794,0.576000,0.736118,0.593000
35999,0.532543,0.393000,0.697543,0.620000,0.638629,0.546000,0.624486,0.614000,0.732857,0.622000
36999,0.528472,0.386000,0.694806,0.599000,0.635389,0.522000,0.622889,0.567000,0.729472,0.611000
37999,0.526784,0.466000,0.692514,0.610000,0.633432,0.563000,0.622595,0.612000,0.727135,0.643000
38999,0.522342,0.358000,0.692921,0.708000,0.629526,0.485000,0.619079,0.489000,0.725816,0.677000
39999,0.521846,0.503000,0.690359,0.593000,0.627077,0.534000,0.618282,0.588000,0.724026,0.656000
40999,0.524300,0.620000,0.690400,0.692000,0.627000,0.624000,0.617775,0.598000,0.723500,0.703000
41999,0.526341,0.608000,0.690683,0.702000,0.627098,0.631000,0.618171,0.634000,0.723707,0.732000
42999,0.529095,0.642000,0.692119,0.751000,0.627738,0.654000,0.618000,0.611000,0.724571,0.760000
