id,mean_acc_[Hoeffding_Tree_Classifier],current_acc_[Hoeffding_Tree_Classifier],mean_acc_[SAM_KNN_Classifier],current_acc_[SAM_KNN_Classifier],mean_acc_[Hoeffding_Adaptive_Tree_Classifier],current_acc_[Hoeffding_Adaptive_Tree_Classifier],mean_acc_[Accuracy_Weighted_Ensemble_Classifier],current_acc_[Accuracy_Weighted_Ensemble_Classifier],mean_acc_[Adaptive_Random_Forest_Classifier],current_acc_[Adaptive_Random_Forest_Classifier]
1000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000
1999,0.697000,0.697000,0.890000,0.890000,0.714000,0.714000,0.893000,0.893000,0.895000,0.895000
2999,0.688500,0.680000,0.891500,0.893000,0.721000,0.728000,0.890500,0.888000,0.897000,0.899000
3999,0.653667,0.584000,0.831333,0.711000,0.693000,0.637000,0.806333,0.638000,0.851000,0.759000
4999,0.645750,0.622000,0.821750,0.793000,0.689500,0.679000,0.789000,0.737000,0.836750,0.794000
5999,0.638800,0.611000,0.822600,0.826000,0.683800,0.661000,0.785200,0.770000,0.834800,0.827000
6999,0.643167,0.665000,0.818500,0.798000,0.683167,0.680000,0.776833,0.735000,0.831000,0.812000
7999,0.643143,0.643000,0.818714,0.820000,0.687000,0.710000,0.773000,0.750000,0.830571,0.828000
8999,0.643750,0.648000,0.820250,0.831000,0.692625,0.732000,0.773000,0.773000,0.832625,0.847000
9999,0.647778,0.680000,0.815333,0.776000,0.694778,0.712000,0.770000,0.746000,0.829222,0.802000
10999,0.640800,0.578000,0.818100,0.843000,0.685100,0.598000,0.767800,0.748000,0.824900,0.786000
11999,0.628000,0.500000,0.830091,0.950000,0.681636,0.647000,0.754545,0.622000,0.829545,0.876000
12999,0.597417,0.261000,0.844250,1.000000,0.700167,0.904000,0.691667,0.000000,0.843750,1.000000
13999,0.592154,0.529000,0.846000,0.867000,0.717692,0.928000,0.644462,0.078000,0.851615,0.946000
14999,0.568929,0.267000,0.813500,0.391000,0.698500,0.449000,0.636000,0.526000,0.835571,0.627000
15999,0.552667,0.325000,0.792733,0.502000,0.684400,0.487000,0.633467,0.598000,0.822867,0.645000
16999,0.543438,0.405000,0.778625,0.567000,0.673687,0.513000,0.631000,0.594000,0.811000,0.633000
17999,0.535588,0.410000,0.765824,0.561000,0.665235,0.530000,0.630294,0.619000,0.801000,0.641000
18999,0.530111,0.437000,0.755500,0.580000,0.657444,0.525000,0.626944,0.570000,0.790778,0.617000
19999,0.526684,0.465000,0.748789,0.628000,0.651000,0.535000,0.626158,0.612000,0.785000,0.681000
20999,0.523700,0.467000,0.742250,0.618000,0.645300,0.537000,0.625850,0.620000,0.778850,0.662000
21999,0.522381,0.496000,0.736762,0.627000,0.640857,0.552000,0.625048,0.609000,0.773143,0.659000
22999,0.517091,0.406000,0.731682,0.625000,0.634500,0.501000,0.622227,0.563000,0.766000,0.616000
23999,0.509522,0.343000,0.740130,0.926000,0.638478,0.726000,0.621826,0.613000,0.771304,0.888000
24149,0.510108,0.418000,0.741814,0.952000,0.640173,0.811000,0.622117,0.659000,0.772786,0.936000
