id,mean_acc_[Hoeffding_Tree_Classifier],current_acc_[Hoeffding_Tree_Classifier],mean_acc_[SAM_KNN_Classifier],current_acc_[SAM_KNN_Classifier],mean_acc_[Hoeffding_Adaptive_Tree_Classifier],current_acc_[Hoeffding_Adaptive_Tree_Classifier],mean_acc_[Accuracy_Weighted_Ensemble_Classifier],current_acc_[Accuracy_Weighted_Ensemble_Classifier],mean_acc_[Adaptive_Random_Forest_Classifier],current_acc_[Adaptive_Random_Forest_Classifier]
1000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000
1999,0.697000,0.697000,0.887000,0.887000,0.718000,0.718000,0.893000,0.893000,0.891000,0.891000
2999,0.688500,0.680000,0.888000,0.889000,0.679500,0.641000,0.890500,0.888000,0.894500,0.898000
3999,0.653667,0.584000,0.830667,0.716000,0.685000,0.696000,0.806333,0.638000,0.846333,0.750000
4999,0.645750,0.622000,0.821250,0.793000,0.686750,0.692000,0.789000,0.737000,0.833250,0.794000
5999,0.638800,0.611000,0.822200,0.826000,0.686600,0.686000,0.785200,0.770000,0.835200,0.843000
6999,0.643167,0.665000,0.818167,0.798000,0.686667,0.687000,0.776833,0.735000,0.832833,0.821000
7999,0.643143,0.643000,0.818429,0.820000,0.686571,0.686000,0.773000,0.750000,0.831429,0.823000
8999,0.643750,0.648000,0.820000,0.831000,0.685875,0.681000,0.773000,0.773000,0.831625,0.833000
9999,0.647778,0.680000,0.815222,0.777000,0.684111,0.670000,0.770000,0.746000,0.828556,0.804000
10999,0.640800,0.578000,0.818500,0.848000,0.683000,0.673000,0.767800,0.748000,0.825100,0.794000
11999,0.628000,0.500000,0.830455,0.950000,0.684000,0.694000,0.754545,0.622000,0.828455,0.862000
12999,0.597417,0.261000,0.844583,1.000000,0.694833,0.814000,0.691667,0.000000,0.842667,0.999000
13999,0.592154,0.529000,0.846308,0.867000,0.699462,0.755000,0.644462,0.078000,0.849769,0.935000
14999,0.568929,0.267000,0.813786,0.391000,0.665500,0.224000,0.636000,0.526000,0.832571,0.609000
15999,0.552667,0.325000,0.793000,0.502000,0.638333,0.258000,0.633467,0.598000,0.818533,0.622000
16999,0.543438,0.405000,0.778875,0.567000,0.630812,0.518000,0.631000,0.594000,0.806500,0.626000
17999,0.535588,0.410000,0.766176,0.563000,0.628588,0.593000,0.630294,0.619000,0.796824,0.642000
18999,0.530111,0.437000,0.755611,0.576000,0.624556,0.556000,0.626944,0.570000,0.786167,0.605000
19999,0.526684,0.465000,0.749000,0.630000,0.621158,0.560000,0.626158,0.612000,0.779158,0.653000
20999,0.523700,0.467000,0.742200,0.613000,0.618550,0.569000,0.625850,0.620000,0.773350,0.663000
21999,0.522381,0.496000,0.736905,0.631000,0.614857,0.541000,0.625048,0.609000,0.767619,0.653000
22999,0.517091,0.406000,0.731682,0.622000,0.609727,0.502000,0.622227,0.563000,0.759727,0.594000
23999,0.509522,0.343000,0.740130,0.926000,0.615913,0.752000,0.621826,0.613000,0.765870,0.901000
24149,0.510108,0.418000,0.741814,0.952000,0.618402,0.855000,0.622117,0.659000,0.767387,0.957000
