id,mean_acc_[Hoeffding_Tree_Classifier],current_acc_[Hoeffding_Tree_Classifier],mean_acc_[SAM_KNN_Classifier],current_acc_[SAM_KNN_Classifier],mean_acc_[Hoeffding_Adaptive_Tree_Classifier],current_acc_[Hoeffding_Adaptive_Tree_Classifier],mean_acc_[Accuracy_Weighted_Ensemble_Classifier],current_acc_[Accuracy_Weighted_Ensemble_Classifier],mean_acc_[Adaptive_Random_Forest_Classifier],current_acc_[Adaptive_Random_Forest_Classifier]
1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1999,0.371000,0.371000,0.461000,0.461000,0.456000,0.456000,0.523000,0.523000,0.517000,0.517000
2999,0.386500,0.402000,0.479500,0.498000,0.480000,0.504000,0.548500,0.574000,0.556000,0.595000
3999,0.395000,0.412000,0.501333,0.545000,0.489667,0.509000,0.559333,0.581000,0.570000,0.598000
4999,0.403000,0.427000,0.511250,0.541000,0.492750,0.502000,0.561750,0.569000,0.575500,0.592000
5999,0.413800,0.457000,0.519800,0.554000,0.504800,0.553000,0.558400,0.545000,0.579000,0.593000
6999,0.423667,0.473000,0.518333,0.511000,0.500000,0.476000,0.549000,0.502000,0.571000,0.531000
7999,0.437143,0.518000,0.519143,0.524000,0.495714,0.470000,0.548857,0.548000,0.569714,0.562000
8999,0.445125,0.501000,0.523375,0.553000,0.497500,0.510000,0.551500,0.570000,0.573250,0.598000
9999,0.453111,0.517000,0.524778,0.536000,0.496556,0.489000,0.549778,0.536000,0.574444,0.584000
10999,0.461200,0.534000,0.531200,0.589000,0.498800,0.519000,0.553500,0.587000,0.579400,0.624000
11999,0.466909,0.524000,0.533636,0.558000,0.498455,0.495000,0.551636,0.533000,0.580636,0.593000
12999,0.473417,0.545000,0.533583,0.533000,0.496333,0.473000,0.548667,0.516000,0.579833,0.571000
13999,0.481000,0.572000,0.540077,0.618000,0.498538,0.525000,0.550385,0.571000,0.583846,0.632000
14999,0.489214,0.596000,0.543286,0.585000,0.500357,0.524000,0.552357,0.578000,0.587071,0.629000
15999,0.491200,0.519000,0.543600,0.548000,0.497600,0.459000,0.553267,0.566000,0.587600,0.595000
16999,0.492563,0.513000,0.544813,0.563000,0.496063,0.473000,0.556187,0.600000,0.590063,0.627000
17999,0.496176,0.554000,0.548412,0.606000,0.501000,0.580000,0.558353,0.593000,0.592941,0.639000
18999,0.499111,0.549000,0.551833,0.610000,0.505222,0.577000,0.561222,0.610000,0.595944,0.647000
19999,0.502316,0.560000,0.555632,0.624000,0.510263,0.601000,0.563789,0.610000,0.597632,0.628000
20999,0.505400,0.564000,0.558850,0.620000,0.513600,0.577000,0.565800,0.604000,0.600000,0.645000
21999,0.507905,0.558000,0.561143,0.607000,0.514952,0.542000,0.567571,0.603000,0.603048,0.664000
22999,0.510091,0.556000,0.565227,0.651000,0.517773,0.577000,0.570500,0.632000,0.605227,0.651000
23999,0.512348,0.562000,0.567478,0.617000,0.519957,0.568000,0.572304,0.612000,0.607696,0.662000
24999,0.514042,0.553000,0.569125,0.607000,0.521125,0.548000,0.572708,0.582000,0.609625,0.654000
25999,0.515640,0.554000,0.569560,0.580000,0.522480,0.555000,0.573000,0.580000,0.610720,0.637000
26999,0.517000,0.551000,0.571346,0.616000,0.523731,0.555000,0.573000,0.573000,0.612462,0.656000
27999,0.518370,0.554000,0.572556,0.604000,0.525037,0.559000,0.573593,0.589000,0.613444,0.639000
28999,0.519571,0.552000,0.575036,0.642000,0.525929,0.550000,0.574214,0.591000,0.615071,0.659000
29999,0.521517,0.576000,0.575483,0.588000,0.527621,0.575000,0.575069,0.599000,0.616069,0.644000
30999,0.522067,0.538000,0.576867,0.617000,0.528533,0.555000,0.575133,0.577000,0.616667,0.634000
31999,0.523323,0.561000,0.577677,0.602000,0.530032,0.575000,0.576387,0.614000,0.618323,0.668000
32999,0.524656,0.566000,0.578562,0.606000,0.529344,0.508000,0.576625,0.584000,0.619469,0.655000
33999,0.525606,0.556000,0.579364,0.605000,0.530242,0.559000,0.576939,0.587000,0.621000,0.670000
34999,0.526853,0.568000,0.579588,0.587000,0.531618,0.577000,0.577353,0.591000,0.622412,0.669000
35999,0.527629,0.554000,0.580286,0.604000,0.532371,0.558000,0.577657,0.588000,0.623143,0.648000
36999,0.528417,0.556000,0.581417,0.621000,0.532500,0.537000,0.577472,0.571000,0.623972,0.653000
37999,0.529622,0.573000,0.581892,0.599000,0.532865,0.546000,0.578189,0.604000,0.624784,0.654000
38999,0.529947,0.542000,0.581842,0.580000,0.531816,0.493000,0.578132,0.576000,0.625132,0.638000
39999,0.529821,0.525000,0.583128,0.632000,0.531538,0.521000,0.578590,0.596000,0.625718,0.648000
40999,0.529675,0.524000,0.583925,0.615000,0.532150,0.556000,0.579850,0.629000,0.626800,0.669000
41999,0.530122,0.548000,0.586073,0.672000,0.533585,0.591000,0.581561,0.650000,0.628366,0.691000
42999,0.530381,0.541000,0.587833,0.660000,0.535119,0.598000,0.582952,0.640000,0.630095,0.701000
43999,0.530767,0.547000,0.589814,0.673000,0.536535,0.596000,0.584953,0.669000,0.631860,0.706000
44999,0.531455,0.561000,0.592000,0.686000,0.538636,0.629000,0.586932,0.672000,0.633409,0.700000
45999,0.531733,0.544000,0.593844,0.675000,0.540578,0.626000,0.588756,0.669000,0.635511,0.728000
46999,0.532239,0.555000,0.595761,0.682000,0.542130,0.612000,0.590413,0.665000,0.637261,0.716000
47999,0.532511,0.545000,0.597234,0.665000,0.543660,0.614000,0.591532,0.643000,0.638787,0.709000
48999,0.533021,0.557000,0.598875,0.676000,0.545104,0.613000,0.592458,0.636000,0.639938,0.694000
49999,0.534082,0.585000,0.600673,0.687000,0.546878,0.632000,0.593857,0.661000,0.641612,0.722000
50999,0.535680,0.614000,0.602260,0.680000,0.548820,0.644000,0.595080,0.655000,0.643100,0.716000
51999,0.535941,0.549000,0.602961,0.638000,0.548490,0.532000,0.595314,0.607000,0.643804,0.679000
52999,0.537365,0.610000,0.604115,0.663000,0.548096,0.528000,0.595442,0.602000,0.644462,0.678000
53999,0.538698,0.608000,0.605151,0.659000,0.548151,0.551000,0.596245,0.638000,0.645472,0.698000
54999,0.540019,0.610000,0.606222,0.663000,0.548037,0.542000,0.596426,0.606000,0.646593,0.706000
55999,0.540509,0.567000,0.606418,0.617000,0.547709,0.530000,0.596200,0.584000,0.646873,0.662000
56999,0.541214,0.580000,0.606929,0.635000,0.547750,0.550000,0.596375,0.606000,0.647250,0.668000
57017,0.541219,0.579000,0.606948,0.637000,0.547788,0.551000,0.596398,0.608000,0.647274,0.670000
