id,mean_acc_[Hoeffding_Tree_Classifier],current_acc_[Hoeffding_Tree_Classifier],mean_acc_[SAM_KNN_Classifier],current_acc_[SAM_KNN_Classifier],mean_acc_[Hoeffding_Adaptive_Tree_Classifier],current_acc_[Hoeffding_Adaptive_Tree_Classifier],mean_acc_[Accuracy_Weighted_Ensemble_Classifier],current_acc_[Accuracy_Weighted_Ensemble_Classifier],mean_acc_[Adaptive_Random_Forest_Classifier],current_acc_[Adaptive_Random_Forest_Classifier]
1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1999,0.371000,0.371000,0.461000,0.461000,0.459000,0.459000,0.523000,0.523000,0.494000,0.494000
2999,0.386500,0.402000,0.479000,0.497000,0.488000,0.517000,0.548500,0.574000,0.545500,0.597000
3999,0.395000,0.412000,0.502667,0.550000,0.509333,0.552000,0.559333,0.581000,0.559333,0.587000
4999,0.403000,0.427000,0.512250,0.541000,0.508500,0.506000,0.561750,0.569000,0.573250,0.615000
5999,0.413800,0.457000,0.520400,0.553000,0.511000,0.521000,0.558400,0.545000,0.575200,0.583000
6999,0.423667,0.473000,0.518833,0.511000,0.503000,0.463000,0.549000,0.502000,0.568667,0.536000
7999,0.437143,0.518000,0.519286,0.522000,0.494429,0.443000,0.548857,0.548000,0.567714,0.562000
8999,0.445125,0.501000,0.520500,0.529000,0.487875,0.442000,0.551500,0.570000,0.574625,0.623000
9999,0.453111,0.517000,0.521556,0.530000,0.481889,0.434000,0.549778,0.536000,0.576889,0.595000
10999,0.461200,0.534000,0.527400,0.580000,0.479300,0.456000,0.553500,0.587000,0.581500,0.623000
11999,0.466909,0.524000,0.530636,0.563000,0.476273,0.446000,0.551636,0.533000,0.583909,0.608000
12999,0.473417,0.545000,0.531250,0.538000,0.470333,0.405000,0.548667,0.516000,0.584083,0.586000
13999,0.481000,0.572000,0.537769,0.616000,0.468615,0.448000,0.550385,0.571000,0.587462,0.628000
14999,0.489214,0.596000,0.541643,0.592000,0.466214,0.435000,0.552357,0.578000,0.588500,0.602000
15999,0.491200,0.519000,0.541867,0.545000,0.470000,0.523000,0.553267,0.566000,0.588933,0.595000
