# TEST CONFIGURATION BEGIN
# FileStream(filename='INSECTS-abrupt_balanced_norm.csv', target_idx=-1, n_targets=1, cat_features=None)
# [HT] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=100000, max_time=10000, metrics=['accuracy'], n_wait=1, output_file='op.txt', pretrain_size=1000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT]
1000,1.000000,1.000000
1001,1.000000,1.000000
1002,0.666667,0.000000
1003,0.750000,1.000000
1004,0.800000,1.000000
1005,0.666667,0.000000
1006,0.571429,0.000000
1007,0.625000,1.000000
1008,0.555556,0.000000
1009,0.600000,1.000000
1010,0.636364,1.000000
1011,0.666667,1.000000
1012,0.692308,1.000000
1013,0.714286,1.000000
1014,0.733333,1.000000
1015,0.750000,1.000000
1016,0.764706,1.000000
1017,0.722222,0.000000
1018,0.736842,1.000000
1019,0.750000,1.000000
1020,0.714286,0.000000
1021,0.681818,0.000000
1022,0.695652,1.000000
1023,0.666667,0.000000
1024,0.680000,1.000000
1025,0.653846,0.000000
1026,0.666667,1.000000
1027,0.642857,0.000000
1028,0.620690,0.000000
1029,0.600000,0.000000
1030,0.580645,0.000000
1031,0.593750,1.000000
1032,0.575758,0.000000
1033,0.588235,1.000000
1034,0.600000,1.000000
1035,0.583333,0.000000
1036,0.594595,1.000000
1037,0.605263,1.000000
1038,0.589744,0.000000
1039,0.600000,1.000000
1040,0.585366,0.000000
1041,0.595238,1.000000
1042,0.581395,0.000000
1043,0.568182,0.000000
1044,0.577778,1.000000
1045,0.586957,1.000000
1046,0.574468,0.000000
1047,0.583333,1.000000
1048,0.571429,0.000000
1049,0.560000,0.000000
1050,0.549020,0.000000
1051,0.557692,1.000000
1052,0.566038,1.000000
1053,0.574074,1.000000
1054,0.581818,1.000000
1055,0.571429,0.000000
1056,0.578947,1.000000
1057,0.586207,1.000000
1058,0.576271,0.000000
1059,0.566667,0.000000
1060,0.573770,1.000000
1061,0.564516,0.000000
1062,0.555556,0.000000
1063,0.562500,1.000000
1064,0.569231,1.000000
1065,0.560606,0.000000
1066,0.552239,0.000000
1067,0.558824,1.000000
1068,0.550725,0.000000
1069,0.557143,1.000000
1070,0.563380,1.000000
1071,0.555556,0.000000
1072,0.561644,1.000000
1073,0.567568,1.000000
1074,0.573333,1.000000
1075,0.578947,1.000000
1076,0.571429,0.000000
1077,0.576923,1.000000
1078,0.582278,1.000000
1079,0.575000,0.000000
1080,0.567901,0.000000
1081,0.573171,1.000000
1082,0.578313,1.000000
1083,0.583333,1.000000
1084,0.588235,1.000000
1085,0.593023,1.000000
1086,0.586207,0.000000
1087,0.590909,1.000000
1088,0.595506,1.000000
1089,0.588889,0.000000
1090,0.593407,1.000000
1091,0.586957,0.000000
1092,0.591398,1.000000
1093,0.595745,1.000000
1094,0.589474,0.000000
1095,0.583333,0.000000
1096,0.587629,1.000000
1097,0.591837,1.000000
1098,0.595960,1.000000
1099,0.590000,0.000000
1100,0.584158,0.000000
1101,0.588235,1.000000
1102,0.592233,1.000000
1103,0.586538,0.000000
1104,0.580952,0.000000
1105,0.584906,1.000000
1106,0.588785,1.000000
1107,0.592593,1.000000
1108,0.596330,1.000000
1109,0.590909,0.000000
1110,0.594595,1.000000
1111,0.598214,1.000000
1112,0.601770,1.000000
1113,0.605263,1.000000
1114,0.600000,0.000000
1115,0.594828,0.000000
1116,0.598291,1.000000
1117,0.601695,1.000000
1118,0.605042,1.000000
1119,0.600000,0.000000
1120,0.595041,0.000000
1121,0.598361,1.000000
1122,0.593496,0.000000
1123,0.588710,0.000000
1124,0.592000,1.000000
1125,0.595238,1.000000
1126,0.590551,0.000000
1127,0.593750,1.000000
1128,0.589147,0.000000
1129,0.584615,0.000000
1130,0.587786,1.000000
1131,0.583333,0.000000
1132,0.586466,1.000000
1133,0.582090,0.000000
1134,0.577778,0.000000
1135,0.580882,1.000000
1136,0.583942,1.000000
1137,0.586957,1.000000
1138,0.589928,1.000000
1139,0.592857,1.000000
1140,0.595745,1.000000
1141,0.598592,1.000000
1142,0.594406,0.000000
1143,0.590278,0.000000
1144,0.586207,0.000000
1145,0.589041,1.000000
1146,0.591837,1.000000
1147,0.594595,1.000000
1148,0.590604,0.000000
1149,0.593333,1.000000
1150,0.596026,1.000000
1151,0.598684,1.000000
1152,0.601307,1.000000
1153,0.597403,0.000000
1154,0.593548,0.000000
1155,0.596154,1.000000
1156,0.598726,1.000000
1157,0.601266,1.000000
1158,0.603774,1.000000
1159,0.600000,0.000000
1160,0.602484,1.000000
1161,0.604938,1.000000
1162,0.607362,1.000000
1163,0.609756,1.000000
1164,0.612121,1.000000
1165,0.614458,1.000000
1166,0.610778,0.000000
1167,0.613095,1.000000
1168,0.609467,0.000000
1169,0.611765,1.000000
1170,0.614035,1.000000
1171,0.610465,0.000000
1172,0.606936,0.000000
1173,0.609195,1.000000
1174,0.605714,0.000000
1175,0.602273,0.000000
1176,0.598870,0.000000
1177,0.601124,1.000000
1178,0.603352,1.000000
1179,0.605556,1.000000
1180,0.607735,1.000000
1181,0.604396,0.000000
1182,0.606557,1.000000
1183,0.603261,0.000000
1184,0.605405,1.000000
1185,0.607527,1.000000
1186,0.604278,0.000000
1187,0.601064,0.000000
1188,0.603175,1.000000
1189,0.605263,1.000000
1190,0.607330,1.000000
1191,0.609375,1.000000
1192,0.611399,1.000000
1193,0.613402,1.000000
1194,0.615385,1.000000
1195,0.617347,1.000000
1196,0.614213,0.000000
1197,0.616162,1.000000
1198,0.613065,0.000000
1199,0.615000,1.000000
1200,0.611940,0.000000
1201,0.613861,1.000000
1202,0.615764,1.000000
1203,0.612745,0.000000
1204,0.614634,1.000000
1205,0.616505,1.000000
1206,0.618357,1.000000
1207,0.620192,1.000000
1208,0.622010,1.000000
1209,0.623810,1.000000
1210,0.625592,1.000000
1211,0.627358,1.000000
1212,0.629108,1.000000
1213,0.626168,0.000000
1214,0.627907,1.000000
1215,0.629630,1.000000
1216,0.626728,0.000000
1217,0.623853,0.000000
1218,0.625571,1.000000
1219,0.627273,1.000000
1220,0.628959,1.000000
1221,0.630631,1.000000
1222,0.627803,0.000000
1223,0.629464,1.000000
1224,0.631111,1.000000
1225,0.632743,1.000000
1226,0.634361,1.000000
1227,0.635965,1.000000
1228,0.633188,0.000000
1229,0.634783,1.000000
1230,0.632035,0.000000
1231,0.633621,1.000000
1232,0.635193,1.000000
1233,0.632479,0.000000
1234,0.634043,1.000000
1235,0.635593,1.000000
1236,0.632911,0.000000
1237,0.634454,1.000000
1238,0.635983,1.000000
1239,0.637500,1.000000
1240,0.639004,1.000000
1241,0.640496,1.000000
1242,0.641975,1.000000
1243,0.643443,1.000000
1244,0.640816,0.000000
1245,0.638211,0.000000
1246,0.639676,1.000000
1247,0.641129,1.000000
1248,0.642570,1.000000
1249,0.644000,1.000000
1250,0.645418,1.000000
1251,0.646825,1.000000
1252,0.644269,0.000000
1253,0.641732,0.000000
1254,0.639216,0.000000
1255,0.640625,1.000000
1256,0.638132,0.000000
1257,0.639535,1.000000
1258,0.637066,0.000000
1259,0.638462,1.000000
1260,0.639847,1.000000
1261,0.641221,1.000000
1262,0.638783,0.000000
1263,0.640152,1.000000
1264,0.641509,1.000000
1265,0.642857,1.000000
1266,0.644195,1.000000
1267,0.645522,1.000000
1268,0.646840,1.000000
1269,0.648148,1.000000
1270,0.649446,1.000000
1271,0.650735,1.000000
1272,0.652015,1.000000
1273,0.649635,0.000000
1274,0.650909,1.000000
1275,0.648551,0.000000
1276,0.646209,0.000000
1277,0.643885,0.000000
1278,0.645161,1.000000
1279,0.642857,0.000000
1280,0.644128,1.000000
1281,0.645390,1.000000
1282,0.643110,0.000000
1283,0.640845,0.000000
1284,0.638596,0.000000
1285,0.639860,1.000000
1286,0.641115,1.000000
1287,0.638889,0.000000
1288,0.640138,1.000000
1289,0.641379,1.000000
1290,0.642612,1.000000
1291,0.643836,1.000000
1292,0.645051,1.000000
1293,0.642857,0.000000
1294,0.640678,0.000000
1295,0.641892,1.000000
1296,0.643098,1.000000
1297,0.644295,1.000000
1298,0.645485,1.000000
1299,0.646667,1.000000
1300,0.647841,1.000000
1301,0.649007,1.000000
1302,0.646865,0.000000
1303,0.644737,0.000000
1304,0.645902,1.000000
1305,0.643791,0.000000
1306,0.644951,1.000000
1307,0.646104,1.000000
1308,0.647249,1.000000
1309,0.645161,0.000000
1310,0.646302,1.000000
1311,0.647436,1.000000
1312,0.645367,0.000000
1313,0.646497,1.000000
1314,0.647619,1.000000
1315,0.648734,1.000000
1316,0.646688,0.000000
1317,0.647799,1.000000
1318,0.648903,1.000000
1319,0.650000,1.000000
1320,0.647975,0.000000
1321,0.645963,0.000000
1322,0.643963,0.000000
1323,0.641975,0.000000
1324,0.640000,0.000000
1325,0.641104,1.000000
1326,0.639144,0.000000
1327,0.640244,1.000000
1328,0.641337,1.000000
1329,0.642424,1.000000
1330,0.640483,0.000000
1331,0.641566,1.000000
1332,0.639640,0.000000
1333,0.640719,1.000000
1334,0.638806,0.000000
1335,0.639881,1.000000
1336,0.640950,1.000000
1337,0.639053,0.000000
1338,0.640118,1.000000
1339,0.638235,0.000000
1340,0.639296,1.000000
1341,0.640351,1.000000
1342,0.638484,0.000000
1343,0.636628,0.000000
1344,0.637681,1.000000
1345,0.635838,0.000000
1346,0.636888,1.000000
1347,0.635057,0.000000
1348,0.636103,1.000000
1349,0.637143,1.000000
1350,0.635328,0.000000
1351,0.633523,0.000000
1352,0.631728,0.000000
1353,0.629944,0.000000
1354,0.630986,1.000000
1355,0.629213,0.000000
1356,0.627451,0.000000
1357,0.628492,1.000000
1358,0.626741,0.000000
1359,0.627778,1.000000
1360,0.628809,1.000000
1361,0.629834,1.000000
1362,0.630854,1.000000
1363,0.631868,1.000000
1364,0.632877,1.000000
1365,0.631148,0.000000
1366,0.629428,0.000000
1367,0.627717,0.000000
1368,0.628726,1.000000
1369,0.627027,0.000000
1370,0.625337,0.000000
1371,0.623656,0.000000
1372,0.624665,1.000000
1373,0.622995,0.000000
1374,0.621333,0.000000
1375,0.622340,1.000000
1376,0.623342,1.000000
1377,0.621693,0.000000
1378,0.622691,1.000000
1379,0.623684,1.000000
1380,0.624672,1.000000
1381,0.625654,1.000000
1382,0.626632,1.000000
1383,0.627604,1.000000
1384,0.628571,1.000000
1385,0.629534,1.000000
1386,0.627907,0.000000
1387,0.628866,1.000000
1388,0.627249,0.000000
1389,0.628205,1.000000
1390,0.626598,0.000000
1391,0.627551,1.000000
1392,0.628499,1.000000
1393,0.626904,0.000000
1394,0.627848,1.000000
1395,0.628788,1.000000
1396,0.629723,1.000000
1397,0.628141,0.000000
1398,0.629073,1.000000
1399,0.630000,1.000000
1400,0.630923,1.000000
1401,0.629353,0.000000
1402,0.630273,1.000000
1403,0.631188,1.000000
1404,0.632099,1.000000
1405,0.633005,1.000000
1406,0.633907,1.000000
1407,0.632353,0.000000
1408,0.630807,0.000000
1409,0.631707,1.000000
1410,0.632603,1.000000
1411,0.633495,1.000000
1412,0.634383,1.000000
1413,0.632850,0.000000
1414,0.631325,0.000000
1415,0.632212,1.000000
1416,0.630695,0.000000
1417,0.631579,1.000000
1418,0.632458,1.000000
1419,0.633333,1.000000
1420,0.631829,0.000000
1421,0.630332,0.000000
1422,0.631206,1.000000
1423,0.629717,0.000000
1424,0.628235,0.000000
1425,0.626761,0.000000
1426,0.627635,1.000000
1427,0.626168,0.000000
1428,0.624709,0.000000
1429,0.623256,0.000000
1430,0.624130,1.000000
1431,0.625000,1.000000
1432,0.625866,1.000000
1433,0.624424,0.000000
1434,0.625287,1.000000
1435,0.626147,1.000000
1436,0.624714,0.000000
